YEAR,MONTH,DATE,TRANSECT,OBSERVER,GROUND,TYP1,TYP2,TYP3,TYP4,TYP5,TYP6,TYP7,TYP8,STR,DIT
1979,5,10,7,6,,21,4,8,2,3,,7,,12,3
1979,5,13,8,6,,4,12,3,,7,,14,,8,3
1979,5,10,9,6,,19,7,2,1,3,,15,,6,10
1979,5,9,10,6,,1,1,1,4,3,,,,3,6
1979,5,9,11,6,,13,7,,1,2,,2,,5,16
1979,5,9,12,6,,7,2,,1,3,,1,,2,1
1979,5,10,13,6,,18,5,4,1,5,,11,,7,16
1979,5,13,14,6,,11,6,1,4,3,,4,,3,15
1979,5,9,15,6,,2,1,10,2,6,,1,,9,15
1979,5,10,16,6,,15,2,2,1,,,8,,6,6
1979,5,13,17,6,,5,10,5,4,13,,6,,14,4
1979,5,10,18,6,,35,7,3,1,3,,13,,5,13
1979,5,9,19,6,,26,1,6,2,10,,5,,3,7
1979,5,9,20,6,,9,6,4,4,5,,2,,4,6
1979,5,10,21,6,,62,15,3,4,4,,13,,2,14
1979,5,9,22,6,,3,10,6,3,,,10,,8,8
1979,5,13,23,6,,23,9,2,3,6,,6,,9,10
1979,5,9,24,6,,8,2,1,,,,1,,1,21
1979,5,13,25,6,,,8,,1,1,,8,,6,5
1979,5,9,26,6,,8,3,3,1,5,,7,,7,14
1979,5,10,27,6,,13,2,5,2,4,,3,,3,5
1979,5,13,28,6,,11,4,,9,8,,27,2,10,1
1979,5,10,29,6,,20,2,2,2,7,,8,,5,3
1979,5,14,30,6,,4,22,1,2,10,,4,,7,
1979,5,12,31,6,,,6,3,7,7,,27,13,9,
1979,5,14,32,6,,1,16,3,3,13,,6,9,10,
1979,5,15,33,6,,1,9,,3,10,,15,4,6,
1979,5,12,34,6,,,1,2,1,8,,18,11,6,1
1979,5,14,35,6,,8,31,5,5,5,,17,4,14,2
1979,5,14,36,6,,9,21,1,1,10,,17,4,2,1
1979,5,14,37,6,,2,13,,2,3,,12,2,14,
1979,5,14,38,6,,,,1,1,6,,,,10,
1979,5,12,39,6,,2,,2,,3,,14,8,9,
1979,5,14,40,6,,8,11,3,6,,,,,11,10
1979,5,12,41,6,,2,2,,,8,,10,12,5,
