year,date,transect,grd,wetype,basin_no,species,pairs,lonedrake,flockdrake,groups,region,p_species
1973,4,13,4,1,7,40,1,0,0,0,1,2
1973,4,13,4,3,8,40,0,1,0,0,1,2
1973,4,13,4,5,9,49,0,0,0,15,1,9
1973,4,13,4,3,10,32,1,0,0,0,1,1
1973,9,14,4,0,1,32,0,1,0,0,1,1
1973,9,14,4,0,2,40,0,1,0,0,1,2
1973,9,14,4,1,3,40,0,1,0,0,1,2
1973,9,14,4,1,4,42,1,0,0,0,1,5
1973,9,14,4,2,5,32,0,1,0,0,1,1
1973,9,14,4,2,6,32,0,1,0,0,1,1
1973,9,14,4,2,7,40,0,1,0,0,1,2
1973,9,14,4,2,8,40,1,0,0,0,1,2
1973,9,14,4,3,9,42,1,0,0,0,1,5
1973,9,14,4,5,10,40,0,1,0,0,1,2
1973,9,14,4,1,11,35,1,0,0,0,1,5
1973,9,14,4,1,12,43,0,1,0,0,1,5
1973,9,14,4,3,13,40,0,1,0,0,1,2
1973,9,14,4,3,14,40,1,1,0,0,1,2
1973,9,14,4,3,15,49,0,1,0,0,1,9
1973,9,14,4,3,15,40,1,0,0,0,1,2
1973,9,14,4,7,16,32,0,1,0,0,1,1
1973,4,15,4,1,1,32,0,1,0,0,1,1
1973,4,15,4,1,2,40,1,0,0,0,1,2
1973,4,15,4,1,2,32,0,1,0,0,1,1
1973,4,15,4,2,4,32,0,2,0,0,1,1
1973,4,15,4,3,5,32,0,3,0,0,1,1
1973,4,15,4,3,6,43,1,0,0,0,1,5
1973,4,15,4,3,6,39,0,0,0,20,1,5
1973,4,15,4,4,7,32,1,0,0,0,1,1
1973,4,15,4,4,7,40,1,0,0,0,1,2
1973,4,15,4,5,9,50,1,0,0,0,1,5
1973,4,15,4,5,9,32,0,0,5,0,1,1
1973,4,15,4,5,9,47,1,0,0,0,1,5
1973,4,15,4,5,10,50,1,0,0,0,1,5
1973,4,15,4,5,11,50,3,0,0,0,1,5
1973,4,15,4,1,14,32,0,1,0,0,1,1
1973,4,15,4,3,15,49,0,0,0,6,1,9
1973,4,15,4,3,16,32,0,1,0,0,1,1
