species,mean,sd,lcl,ucl,median,year,n
blue-winged teal,84452.3553931463,15278.830193474923,56954.86054393543,117712.48072625556,83228.97392270411,2010,50188
blue-winged teal,84065.93255063843,15094.855598466085,58818.24546932908,118704.51426228856,82569.63926821324,2011,90803
blue-winged teal,80693.54436049791,14965.052861468888,55582.89716895431,114574.66632784322,79185.1954404668,2012,105791
blue-winged teal,69958.62822809345,12665.055465613577,47771.795235865415,98060.35986932625,69117.70843418597,2013,73483
blue-winged teal,58773.80462877916,11899.74847622141,37733.90280500079,83826.92508298837,58159.53256752945,2014,34337
blue-winged teal,58498.501380995025,11036.782874038709,39437.70070150178,82004.31050849937,57823.22539380746,2015,59083
blue-winged teal,56173.33300444938,11002.888435059363,36985.70261251771,79453.6320193465,55606.6191173578,2016,37936
blue-winged teal,61465.31793923326,11551.776464221935,41613.853515365074,86797.70199094877,60565.580583161194,2017,85526
blue-winged teal,58630.06171675982,11154.995884335889,39706.68172394833,82381.28568601016,57723.628196799946,2018,45130
blue-winged teal,61053.21949197858,12414.452514147768,40090.34475149419,88304.25376671404,59818.4467193119,2019,61946
blue-winged teal,63440.398843872375,16106.110674022982,38543.46135730594,102521.52167902637,61298.83691868242,2020,NA
blue-winged teal,65081.60048194563,16986.770678814366,38631.42598816198,104552.75511526779,62992.765470113256,2021,75256
canada goose,12722.545534128312,2269.0012338610577,9191.716507723122,18041.837760811035,12399.573275395811,1986,11129
canada goose,15341.06501526301,2266.124272873695,11570.836685096976,20757.41713047254,15068.273120830969,1987,14519
canada goose,18799.23383828037,2725.081665887575,14444.244743921674,24945.495708831535,18627.620214896644,1988,15339
canada goose,32651.7697671257,8011.112825709362,21343.573232127183,52491.03325746515,30867.65935179859,1989,53040
canada goose,26303.43491900369,3567.1914281438403,20236.03356589589,34021.08457485008,26035.859691915943,1990,22840
canada goose,27410.9036059519,3828.1710717892793,21161.000787083845,36213.991251907486,27107.775762301113,1991,23931
canada goose,33156.76121808968,4240.8780788879485,25503.510437491263,42045.60791495169,33012.923959488835,1992,34668
canada goose,36015.345107521316,4800.319158266585,27652.100945709408,46945.85789125507,35532.158446576,1993,34386
canada goose,40566.67411765489,5603.137646448188,31270.20675891137,52593.34467141822,39981.600821924745,1994,36125
canada goose,53550.130095721426,7042.484274886744,40836.09160899701,68283.6237390816,53193.34469626763,1995,59240
canada goose,59483.29477961965,7759.252372373609,46075.29463114563,77005.44916354826,58749.250409055356,1996,55888
canada goose,73440.868224742,9689.972361475979,55622.8739003666,93571.9909387586,73272.6549587049,1997,78566
canada goose,80264.23819815142,10465.359418310809,61708.561582434864,103689.37879458064,79330.94135212572,1998,74712
canada goose,97894.3932535622,12808.584299506643,74692.43822675731,124846.94523791294,97915.1750958086,1999,101183
canada goose,114220.56038088084,15765.06714916086,84899.3124581248,145858.23797825028,113689.18931539144,2000,129508
canada goose,109308.05693017063,15633.463042499608,84118.03347352646,143616.4657031464,107566.35054475133,2001,94066
canada goose,128535.2248426789,17061.374204362146,98593.17080722305,166035.09072129906,127021.76096431245,2002,118476
canada goose,176063.58664639344,33279.43036259693,120209.50413154272,245489.78202294032,172057.72146670657,2003,241930
canada goose,149939.3355484556,19722.662843025402,114625.30088603625,192170.32212089913,148845.64466312813,2004,149003
canada goose,134693.19017514362,17728.56589051685,105018.74801941749,174549.85792949854,132702.5526077075,2005,123836
canada goose,134347.78354358656,17316.58862196399,102314.40868195705,171507.06552785903,133529.42199683574,2006,134683
canada goose,129544.66314727793,17257.02778090613,98263.64416184244,167846.89617816298,127976.00325746683,2007,125195
canada goose,128981.09036982484,17718.817421781867,98919.92128653533,166223.35713391498,127350.87315942982,2008,116715
canada goose,144381.3678302908,18501.049035724373,110705.44410023531,184279.19372610393,143776.05633274038,2009,148293
canada goose,154559.0075418634,19554.34759877513,119583.90738728152,196825.7296466842,153908.25084468606,2010,157622
canada goose,161541.8919261229,22258.60169012969,120955.47640459977,207745.87076682525,160900.71338481054,2011,176095
canada goose,148254.3614053065,19281.657913377843,113160.0477631462,189613.03007556652,146681.6851453957,2012,145386
canada goose,140108.4083581014,18471.29438385518,106850.74612808562,180171.83778968969,139096.59902118862,2013,138925
canada goose,132503.2284493816,17421.266763016,102503.87955949648,171729.99217844926,130577.2953236867,2014,126299
canada goose,130036.21380956103,18074.010253277735,99896.61468334761,170915.93588416383,127832.794553931,2015,119212
canada goose,137340.10937122235,18687.44767631475,104885.45853217161,179725.0180668841,135342.93770334063,2016,129562
canada goose,153389.33654882578,19871.632244918834,117986.08688238407,195967.98994094896,152948.1196485862,2017,158023
canada goose,160169.67847119577,21068.037582344798,121081.80097966423,205381.04784984523,158482.75254182442,2018,157950
canada goose,169906.48626572502,23893.848320501183,125051.53842446185,222837.72896761715,168746.6307237644,2019,171407
canada goose,175267.13667763365,34832.361615127375,114352.46782257584,251690.24695978526,172363.89308146224,2020,NA
canada goose,179383.75256562053,30412.719354437017,126984.34314436982,246678.411556366,175512.65632814757,2021,170125
mallard,102926.48252688485,14464.831790429922,77876.03218328654,134470.71115069938,101580.59057143725,1973,106956
mallard,101671.04610673248,12214.396113170875,80192.91577971693,128688.37673432463,100923.34217520559,1974,94322
mallard,104766.20972150209,12347.446263553498,83072.53628115883,131940.95430894502,103992.0815436969,1975,120460
mallard,100623.41823768547,11622.076588043541,80346.84052677009,126140.52543931766,99699.125661436,1976,109862
mallard,92970.06477164863,10791.90265345435,73822.26196648202,115723.51577200387,92464.53251564415,1977,91657
mallard,85564.644112683993,11015.734793333475,65092.69413304361,107741.29833573918,85118.93099405424,1978,61646
mallard,90924.85804915945,10701.994959534793,71060.21092303949,113957.80432704875,90654.97083405092,1979,78600
mallard,103757.2550993401,11543.839847401934,83003.4864305712,127303.65711808381,103289.90357466807,1980,116488
mallard,111046.45167216897,13329.537865232456,87967.03420479826,140828.33776659647,110221.36477024498,1981,142831
